train_samples,test_samples,method,C,ci_train_same_size,ci_train_max_size,ci_test,ibs_train_same_size,ibs_train_max_size,ibs_test,train_time,test_time,error,error_text,model_id
1,1,LogReg_Classic,0.001,0.8960877686408831,0.9080509799282929,0.9044594484721963,0.814340745160567,0.5837331427461687,0.810660008036981,0.5514414310455322,1.0708494186401367,0,,1
1,10,LogReg_Classic,0.001,0.8960877686408831,0.9080509799282929,0.9102981432165821,0.814340745160567,0.5837331427461687,0.6139069764924059,0.5514414310455322,8.457513809204102,0,,1
1,25,LogReg_Classic,0.001,0.8960877686408831,0.9080509799282929,0.9112940485037886,0.814340745160567,0.5837331427461687,0.5903116417367694,0.5514414310455322,20.907649278640747,0,,1
1,1,LogReg_Classic,0.01,0.9400527857094653,0.9401640929237735,0.9433241683051874,0.8096273370536946,0.5789890786778386,0.8058454657649881,0.540440559387207,1.0407688617706299,0,,2
1,10,LogReg_Classic,0.01,0.9400527857094653,0.9401640929237735,0.9415458701125738,0.8096273370536946,0.5789890786778386,0.608856907542864,0.540440559387207,8.48859715461731,0,,2
1,25,LogReg_Classic,0.01,0.9400527857094653,0.9401640929237735,0.941777279181897,0.8096273370536946,0.5789890786778386,0.585269059123993,0.540440559387207,20.74922776222229,0,,2
1,1,LogReg_Classic,0.1,0.9418679691459579,0.9417030184494327,0.9439946544333963,0.7721761594257465,0.5423438978270029,0.7686234325860827,0.615638256072998,1.1099557876586914,0,,3
1,10,LogReg_Classic,0.1,0.9418679691459579,0.9417030184494327,0.942115209585955,0.7721761594257465,0.5423438978270029,0.5722929825738443,0.615638256072998,8.719206809997559,0,,3
1,25,LogReg_Classic,0.1,0.9418679691459579,0.9417030184494327,0.9424798236853111,0.7721761594257465,0.5423438978270029,0.5487251871229581,0.615638256072998,22.170014142990112,0,,3
1,1,LogReg_Classic,1.0,0.9420558398012674,0.9419601320216499,0.944293538941445,0.531395199007387,0.35077080024730345,0.5279696949050747,0.741973876953125,1.1470518112182617,0,,4
1,10,LogReg_Classic,1.0,0.9420558398012674,0.9419601320216499,0.9425080914799321,0.531395199007387,0.35077080024730345,0.37911118133893895,0.741973876953125,9.324821710586548,0,,4
1,25,LogReg_Classic,1.0,0.9420558398012674,0.9419601320216499,0.9429713497298433,0.531395199007387,0.35077080024730345,0.3611254736288579,0.741973876953125,23.18170428276062,0,,4
1,1,LogReg_Classic,10.0,0.9430204626717332,0.9421722036317101,0.9444352514237094,0.2872108852812002,0.18955970986213339,0.28263467571952555,0.5995945930480957,1.1620919704437256,0,,5
1,10,LogReg_Classic,10.0,0.9430204626717332,0.9421722036317101,0.9422668931089376,0.2872108852812002,0.18955970986213339,0.20999991002232177,0.5995945930480957,9.40402865409851,0,,5
