train_samples,test_samples,method,ci_train_same_size,ci_train_max_size,ci_test,ibs_train_same_size,ibs_train_max_size,ibs_test,train_time,test_time,error,error_text,model_id
1,1,LogReg,0.5033924854455443,0.5034928670385896,0.505460081740905,0.8116625055195681,0.584547885139505,0.8078672027687702,0.609621524810791,1.063828706741333,0,,1
1,10,LogReg,0.5033924854455443,0.5034928670385896,0.5100261851851181,0.8116625055195681,0.584547885139505,0.6122024879330303,0.609621524810791,9.242582559585571,0,,1
1,25,LogReg,0.5033924854455443,0.5034928670385896,0.5094995080167224,0.8116625055195681,0.584547885139505,0.5890848758975803,0.609621524810791,22.78059148788452,0,,1
1,1,NN,0.7328872951200206,0.756546863059718,0.7459670631562433,0.8141043147000886,0.5835367230310258,0.8102881917013014,13.27631139755249,2.315131187438965,0,,2
1,10,NN,0.7328872951200206,0.756546863059718,0.786257099163503,0.8141043147000886,0.5835367230310258,0.6136319720159505,13.27631139755249,20.016237020492554,0,,2
1,25,NN,0.7328872951200206,0.756546863059718,0.7868096549910824,0.8141043147000886,0.5835367230310258,0.5900385500391702,13.27631139755249,50.17586612701416,0,,2
2,1,LogReg,0.7687233037359614,0.7746942259025842,0.7517071344075617,0.7317975826737169,0.581099536639231,0.808626067507025,1.230201244354248,1.0738577842712402,0,,3
2,10,LogReg,0.7687233037359614,0.7746942259025842,0.7906073884409935,0.7317975826737169,0.581099536639231,0.6110243326932862,1.230201244354248,8.930526733398438,0,,3
2,25,LogReg,0.7687233037359614,0.7746942259025842,0.7938620274749266,0.7317975826737169,0.581099536639231,0.5873868282651902,1.230201244354248,21.5597984790802,0,,3
2,1,NN,0.8139224017321101,0.8213687920306115,0.808453392911742,0.7333215080228599,0.5826668666348848,0.8096195176668497,27.428326845169067,2.1737682819366455,0,,4
2,10,NN,0.8139224017321101,0.8213687920306115,0.8336184522984625,0.7333215080228599,0.5826668666348848,0.6128336775903068,27.428326845169067,19.983022928237915,0,,4
2,25,NN,0.8139224017321101,0.8213687920306115,0.83486851687383,0.7333215080228599,0.5826668666348848,0.5892550261020677,27.428326845169067,49.747023582458496,0,,4
5,1,LogReg,0.8559842684282319,0.8544063696901691,0.8534993535620506,0.30282578272897853,0.26524684506151575,0.4318266316285356,2.5858614444732666,1.1089482307434082,0,,5
5,10,LogReg,0.8559842684282319,0.8544063696901691,0.8621990726536797,0.30282578272897853,0.26524684506151575,0.2729676335817977,2.5858614444732666,8.834505558013916,0,,5
5,25,LogReg,0.8559842684282319,0.8544063696901691,0.8629549753700649,0.30282578272897853,0.26524684506151575,0.2556855966648831,2.5858614444732666,21.564969539642334,0,,5
5,1,NN,0.8686454880598569,0.8697955403237221,0.8650433382536671,0.6360288597756055,0.5677402256388949,0.7946529986096297,57.779881715774536,2.139695167541504,0,,6
5,10,NN,0.8686454880598569,0.8697955403237221,0.8766450007520765,0.6360288597756055,0.5677402256388949,0.5973228209807192,57.779881715774536,18.456119060516357,0,,6
5,25,NN,0.8686454880598569,0.8697955403237221,0.8782176976474131,0.6360288597756055,0.5677402256388949,0.5738548484296541,57.779881715774536,46.46265268325806,0,,6
10,1,LogReg,0.8572931649138741,0.8549243810943042,0.8544226318555919,0.5884122290370052,0.557321606404163,0.7890336093866399,4.501981496810913,1.104938268661499,0,,7
10,10,LogReg,0.8572931649138741,0.8549243810943042,0.8607516002408955,0.5884122290370052,0.557321606404163,0.5880088323873595,4.501981496810913,8.221882104873657,0,,7
10,25,LogReg,0.8572931649138741,0.8549243810943042,0.8610654615159828,0.5884122290370052,0.557321606404163,0.5640486552166738,4.501981496810913,20.179707050323486,0,,7
10,1,NN,0.8968804111469936,0.8978459976133332,0.8948636525519126,0.5698085113755947,0.5389104683219217,0.7674980688816759,113.58425521850586,2.1738100051879883,0,,8
10,10,NN,0.8968804111469936,0.8978459976133332,0.9041279208760101,0.5698085113755947,0.5389104683219217,0.569141066794544,113.58425521850586,18.411208629608154,0,,8
10,25,NN,0.8968804111469936,0.8978459976133332,0.9063282074676002,0.5698085113755947,0.5389104683219217,0.545608501481675,113.58425521850586,46.41908597946167,0,,8
15,1,LogReg,0.8973107047113277,0.8966139359314188,0.90424015198449,0.5799738550987628,0.562728575373777,0.792338047797453,6.714978218078613,1.0999274253845215,0,,9
15,10,LogReg,0.8973107047113277,0.8966139359314188,0.8993300184361405,0.5799738550987628,0.562728575373777,0.5932896884888045,6.714978218078613,8.062477588653564,0,,9
15,25,LogReg,0.8973107047113277,0.8966139359314188,0.8991270966470511,0.5799738550987628,0.562728575373777,0.5694621394379707,6.714978218078613,19.85086965560913,0,,9
15,1,NN,0.9131287995057636,0.9128502134621792,0.9198136380657477,0.48085665880987716,0.4664108734070814,0.6756736024756991,169.19267320632935,2.015394687652588,0,,10
15,10,NN,0.9131287995057636,0.9128502134621792,0.9197371462883122,0.48085665880987716,0.4664108734070814,0.4943570824843526,169.19267320632935,18.573489904403687,0,,10
15,25,NN,0.9131287995057636,0.9128502134621792,0.921076812380024,0.48085665880987716,0.4664108734070814,0.47247474710672416,169.19267320632935,46.27027750015259,0,,10
20,1,LogReg,0.9343888136362671,0.9345548889863049,0.9411652716814373,0.11213928265424185,0.11107029879812591,0.1443914063077871,8.721233606338501,1.1310410499572754,0,,11
20,10,LogReg,0.9343888136362671,0.9345548889863049,0.9379745559217951,0.11213928265424185,0.11107029879812591,0.10928332586543815,8.721233606338501,8.712212324142456,0,,11
20,25,LogReg,0.9343888136362671,0.9345548889863049,0.9382126661338457,0.11213928265424185,0.11107029879812591,0.10606360004908517,8.721233606338501,21.426085472106934,0,,11
20,1,NN,0.9309877330988571,0.9310164849885981,0.9407510131726762,0.44703580658505726,0.43875409717833724,0.6499653328025051,225.59506607055664,1.9341444969177246,0,,12
20,10,NN,0.9309877330988571,0.9310164849885981,0.9389419020612333,0.44703580658505726,0.43875409717833724,0.4668529689550533,225.59506607055664,18.708760499954224,0,,12
20,25,NN,0.9309877330988571,0.9310164849885981,0.9396822163293939,0.44703580658505726,0.43875409717833724,0.44473099317323095,225.59506607055664,46.556859493255615,0,,12
30,1,LogReg,0.9259187300310306,0.9256633945952166,0.9288600476153941,0.3766601874356631,0.3732601432573241,0.5928403096749217,12.946434736251831,1.1049013137817383,0,,13
30,10,LogReg,0.9259187300310306,0.9256633945952166,0.9273363140175419,0.3766601874356631,0.3732601432573241,0.4052428203936531,12.946434736251831,8.980886936187744,0,,13
30,25,LogReg,0.9259187300310306,0.9256633945952166,0.9279321661868041,0.3766601874356631,0.3732601432573241,0.38135791807713926,12.946434736251831,22.053656816482544,0,,13
30,1,NN,0.9476214157585721,0.9477680742427746,0.9522059623451326,0.3548388551481998,0.3522610701033378,0.5595544161264526,347.90313267707825,1.9792900085449219,0,,14
