train_samples,test_samples,method,l1_ratio,penalizer,ci_train_same_size,ci_train_max_size,ci_test,ibs_train_same_size,ibs_train_max_size,ibs_test,train_time,test_time,error,error_text,model_id
1,1,Cox,0.001,0.001,0.5,0.5,0.5,0.18294859958058846,0.4135404317765961,0.18664790308187135,70.33233141899109,0.2396392822265625,0,,1
1,10,Cox,0.001,0.001,0.5,0.5,0.5,0.18294859958058846,0.4135404317765961,0.3833544547969226,70.33233141899109,2.0223379135131836,0,,1
1,25,Cox,0.001,0.001,0.5,0.5,0.5,0.18294859958058846,0.4135404317765961,0.40695341427459863,70.33233141899109,4.821795225143433,0,,1
1,1,Cox,0.001,0.01778279410038923,0.5,0.5,0.5,0.18294859958058846,0.4135404317765961,0.18664790308187135,68.81086993217468,0.2917766571044922,0,,2
1,10,Cox,0.001,0.01778279410038923,0.5,0.5,0.5,0.18294859958058846,0.4135404317765961,0.3833544547969226,68.81086993217468,2.0464282035827637,0,,2
1,25,Cox,0.001,0.01778279410038923,0.5,0.5,0.5,0.18294859958058846,0.4135404317765961,0.40695341427459863,68.81086993217468,4.79472279548645,0,,2
1,1,Cox,0.001,0.31622776601683794,0.7949962769339147,0.8203988734152384,0.8080551665221868,0.11358673651892767,0.23405337697813985,0.11455191230409606,31.546577215194702,0.3639659881591797,0,,3
1,10,Cox,0.001,0.31622776601683794,0.7949962769339147,0.8203988734152384,0.8255185229794488,0.11358673651892767,0.23405337697813985,0.22085148330852417,31.546577215194702,2.7984256744384766,0,,3
1,25,Cox,0.001,0.31622776601683794,0.7949962769339147,0.8203988734152384,0.8269931650326102,0.11358673651892767,0.23405337697813985,0.23300081185855687,31.546577215194702,6.878248691558838,0,,3
1,1,Cox,0.001,5.623413251903491,0.7785934608103512,0.8113304122148183,0.7920757242796139,0.1308824207175243,0.29279832027710695,0.13329723626461074,64.27506065368652,0.3649477958679199,0,,4
1,10,Cox,0.001,5.623413251903491,0.7785934608103512,0.8113304122148183,0.8146197675031027,0.1308824207175243,0.29279832027710695,0.2720654924664242,64.27506065368652,2.8576366901397705,0,,4
1,25,Cox,0.001,5.623413251903491,0.7785934608103512,0.8113304122148183,0.8166604375890165,0.1308824207175243,0.29279832027710695,0.2882701827693974,64.27506065368652,6.87841272354126,0,,4
1,1,Cox,0.001,100.0,0.7821074252522014,0.8055495466233843,0.7924885513491601,0.13404928185201978,0.3019312645468819,0.13692954036097535,66.08843326568604,0.36600351333618164,0,,5
1,10,Cox,0.001,100.0,0.7821074252522014,0.8055495466233843,0.8068509957662442,0.13404928185201978,0.3019312645468819,0.2808027010801534,66.08843326568604,2.8105225563049316,0,,5
1,25,Cox,0.001,100.0,0.7821074252522014,0.8055495466233843,0.808134945891645,0.13404928185201978,0.3019312645468819,0.2976820924659739,66.08843326568604,6.9003705978393555,0,,5
1,1,Cox,0.01778279410038923,0.001,0.5,0.5,0.5,0.18294859958058846,0.4135404317765961,0.18664790308187135,69.03191471099854,0.28578972816467285,0,,6
1,10,Cox,0.01778279410038923,0.001,0.5,0.5,0.5,0.18294859958058846,0.4135404317765961,0.3833544547969226,69.03191471099854,2.0304131507873535,0,,6
1,25,Cox,0.01778279410038923,0.001,0.5,0.5,0.5,0.18294859958058846,0.4135404317765961,0.40695341427459863,69.03191471099854,4.795818090438843,0,,6
1,1,Cox,0.01778279410038923,0.01778279410038923,0.5,0.5,0.5,0.18294859958058846,0.4135404317765961,0.18664790308187135,68.79077959060669,0.3088216781616211,0,,7
1,10,Cox,0.01778279410038923,0.01778279410038923,0.5,0.5,0.5,0.18294859958058846,0.4135404317765961,0.3833544547969226,68.79077959060669,2.1286613941192627,0,,7
1,25,Cox,0.01778279410038923,0.01778279410038923,0.5,0.5,0.5,0.18294859958058846,0.4135404317765961,0.40695341427459863,68.79077959060669,5.044417858123779,0,,7
1,1,Cox,0.01778279410038923,0.31622776601683794,0.7934079725549941,0.8193763916108376,0.8057247834805044,0.11435865589018764,0.23704269335124303,0.11538961651950642,67.59942984580994,0.3749978542327881,0,,8
1,10,Cox,0.01778279410038923,0.31622776601683794,0.7934079725549941,0.8193763916108376,0.8235020743682663,0.11435865589018764,0.23704269335124303,0.22411432703249778,67.59942984580994,2.8566277027130127,0,,8
1,25,Cox,0.01778279410038923,0.31622776601683794,0.7934079725549941,0.8193763916108376,0.8253387518408437,0.11435865589018764,0.23704269335124303,0.23656078610626136,67.59942984580994,7.031674861907959,0,,8
1,1,Cox,0.01778279410038923,5.623413251903491,0.7834302762270454,0.8058568554283932,0.7935277762190995,0.13331542080031186,0.3000198803558335,0.1361740312457985,65.48310494422913,0.3700125217437744,0,,9
1,10,Cox,0.01778279410038923,5.623413251903491,0.7834302762270454,0.8058568554283932,0.8074063491527846,0.13331542080031186,0.3000198803558335,0.27908339115492337,65.48310494422913,2.823509693145752,0,,9
